,0,1,2,3,4,5,6,7,8,9
36,0.16878876,0.9179711,0.23550896,0.7969632,0.35940406,0.79228514,0.5752146,0.5948015,0.63861954,0.4154408
37,0.14149654,0.93216157,0.19340469,0.84081334,0.24776764,0.8219495,0.34088424,0.7933882,0.5046428,0.42158666
38,0.18883519,0.94613856,0.28991225,0.8053462,0.3589652,0.71313596,0.35132697,0.39539662,0.47653052,0.42910913
39,0.15946934,0.92359996,0.22578277,0.82389116,0.2963757,0.76232255,0.40478188,0.70526785,0.50408405,0.4610308
40,0.21420982,0.9852424,0.32596147,0.87153274,0.43454224,0.8329369,0.4634304,0.8273277,0.4610764,0.5164915
41,0.1130125,0.8687427,0.15483923,0.74716884,0.28627765,0.72997046,0.37272078,0.56750435,0.4540703,0.29494813
42,0.12916853,0.90952224,0.18389744,0.829164,0.27166614,0.7573562,0.37701756,0.5362318,0.48839596,0.3388939
43,0.15517151,0.9473705,0.21270257,0.84440887,0.2470107,0.84696704,0.33900052,0.7027045,0.4301327,0.36291754
44,0.15456587,0.894924,0.18919115,0.80661136,0.27276224,0.7861382,0.4787099,0.71319485,0.8151599,0.369377
45,0.15031774,0.91554075,0.27664292,0.7926911,0.32267362,0.76347613,0.40678936,0.6567008,0.48030072,0.3816213
46,0.22966553,0.9486592,0.41733593,0.79758996,0.48066324,0.62706465,0.610544,0.48564786,0.59805185,0.34717768
47,0.19792654,0.9392719,0.3405912,0.8565236,0.42075074,0.7251625,0.49798962,0.6391892,0.49676076,0.3730503
48,0.10744991,0.8218988,0.17007776,0.7116174,0.24831031,0.7181552,0.37544757,0.4508993,0.47872657,0.30476463
49,0.12508148,0.84003276,0.1530809,0.7366617,0.19837007,0.7406409,0.33319607,0.70326287,0.5581581,0.36813036
